"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2908","parametrized methods @smoke","chromium","2026-07-30","passed","2026-07-30","","usePageObjects.spec.ts","",""
"","3195","navigate to form page @smoke","chromium","2026-07-30","passed","2026-07-30","","usePageObjects.spec.ts","",""
